Location,Sq_Ft,Bedrooms,Bathrooms,Year_Built,Garage,Price
Keshav Pura,1528,4,2,2001,No,2488003
Keshav Pura,2903,5,1,2007,Yes,2791446
Gumanpura,1367,5,3,2021,No,2869867
Keshav Pura,1599,3,3,2014,No,2677069
Vigyan Nagar,2087,2,3,2020,No,3380535
Dada bari,1504,4,1,1988,No,3280031
Dada bari,1425,5,2,2020,No,3377827
Keshav Pura,2754,1,1,1997,Yes,2746917
Gumanpura,2627,1,3,2021,Yes,3303329
Keshav Pura,3459,4,1,1995,No,2811910
Nayapura,2541,5,2,2004,No,2859196
Keshav Pura,1067,4,3,1993,No,2379274
Vigyan Nagar,1961,5,2,2016,No,3347576
Dada bari,2552,5,2,1982,Yes,3471426
Vigyan Nagar,3294,2,2,1994,No,3262375
Dada bari,1764,4,1,2017,No,3379293
Keshav Pura,1894,1,1,2005,Yes,2644897
Dada bari,1017,5,1,2011,No,3322435
Vigyan Nagar,2965,3,2,2010,Yes,3374295
Dada bari,1521,2,2,2019,No,3527457
Vigyan Nagar,2727,4,3,2000,Yes,3432336
Nayapura,1112,1,3,2016,No,2713607
Vigyan Nagar,3142,2,3,1999,No,3379691
Gumanpura,1542,5,2,1997,Yes,2935175
Vigyan Nagar,1434,5,3,2020,No,3224215
Gumanpura,2692,4,3,2006,Yes,3179899
Dada bari,979,1,3,1989,Yes,3185985
Vigyan Nagar,1119,5,2,2020,No,3242898
Vigyan Nagar,1668,4,3,1997,Yes,3236179
Keshav Pura,2752,2,2,1983,No,2651630
Dada bari,1969,5,1,1998,No,3412065
Vigyan Nagar,3232,4,2,1984,Yes,3383055
Dada bari,1589,4,3,2012,Yes,3493049
Vigyan Nagar,1765,1,3,1995,No,3175882
Vigyan Nagar,1835,5,1,2007,Yes,3292909
Nayapura,2789,2,3,1996,No,2832064
Gumanpura,2509,5,2,1996,Yes,3075438
Keshav Pura,3296,2,1,1981,Yes,2786729
Vigyan Nagar,2577,2,3,1983,No,3266302
Vigyan Nagar,1914,4,2,2005,No,3227568
Gumanpura,2555,1,3,1994,No,2827924
Vigyan Nagar,2782,4,1,1992,No,3225730
Gumanpura,1389,2,3,2013,Yes,2947170
Nayapura,3039,5,2,2022,No,3193631
Nayapura,2746,4,1,2003,Yes,2972047
Vigyan Nagar,3099,3,2,2019,Yes,3584342
Gumanpura,2383,4,3,2015,Yes,3135410
Gumanpura,2331,2,3,2004,Yes,3051816
Nayapura,1777,2,1,2005,No,2701715
Keshav Pura,2038,5,3,1992,No,2568915
Nayapura,2399,1,2,2010,Yes,3030986
Vigyan Nagar,1164,1,3,2002,Yes,3137105
Dada bari,1360,5,3,1991,No,3211383
Gumanpura,2293,1,1,1989,No,2835237
Nayapura,2278,1,1,1999,No,2769150
Nayapura,1651,5,2,2016,Yes,2898519
Nayapura,1365,2,3,1981,Yes,2762308
Dada bari,3197,4,1,1987,Yes,3675303
Gumanpura,3229,5,1,2012,Yes,3166148
Keshav Pura,1434,2,2,1980,No,2434607
Keshav Pura,3300,3,2,2009,Yes,2848158
Gumanpura,1027,1,3,2015,Yes,2932598
Gumanpura,2165,1,1,1992,Yes,2855850
Nayapura,3413,1,1,1990,No,2890162
Gumanpura,1119,5,3,2018,Yes,3024209
Gumanpura,3353,2,2,1997,No,3007920
Nayapura,1588,3,2,1993,No,2594596
Nayapura,1550,4,2,2021,No,2881155
Gumanpura,2636,4,1,2006,Yes,3012852
Nayapura,1589,3,3,2023,No,2996889
Nayapura,3460,4,3,2022,No,3258528
Nayapura,1795,4,3,2008,No,2832389
Vigyan Nagar,1000,1,2,2020,Yes,3151980
Gumanpura,2951,4,2,2015,No,3211335
Gumanpura,1794,3,1,2007,No,2847168
Keshav Pura,3238,1,2,2016,Yes,2946100
Nayapura,2190,5,3,2018,Yes,3043676
Gumanpura,3308,1,1,2014,Yes,3295228
Nayapura,3386,3,2,2022,Yes,3216531
Keshav Pura,2268,5,2,2008,Yes,2807966
Keshav Pura,2386,4,3,2010,Yes,2754617
Gumanpura,2111,4,2,1995,Yes,3078946
Nayapura,1884,4,3,1986,Yes,2762548
Vigyan Nagar,1126,4,2,1983,Yes,3123401
Vigyan Nagar,980,5,2,1984,Yes,3145564
Keshav Pura,1395,5,1,1990,Yes,2662577
Gumanpura,1391,3,3,1984,Yes,2864343
Gumanpura,1578,1,2,1995,Yes,2925449
Gumanpura,1486,4,2,1997,No,2874573
Gumanpura,2203,1,1,1990,Yes,2933138
Vigyan Nagar,1784,5,3,1993,Yes,3302575
Dada bari,1047,1,3,2004,Yes,3208779
Vigyan Nagar,1645,3,3,1983,Yes,3201380
Keshav Pura,3268,2,2,2018,No,2832529
Gumanpura,1581,4,2,2001,No,2862197
Keshav Pura,2065,4,1,2003,Yes,2756437
Nayapura,2154,2,1,1991,No,2722064
Vigyan Nagar,2978,3,1,2016,No,3448160
Vigyan Nagar,2395,2,1,1999,No,3108372
Dada bari,2232,1,3,2015,Yes,3533772
Keshav Pura,989,3,2,2021,Yes,2721598
Keshav Pura,1058,5,1,2002,Yes,2590192
Vigyan Nagar,3403,2,2,1983,Yes,3476479
Dada bari,1648,2,3,1990,No,3310290
Dada bari,2525,1,1,2005,No,3328081
Dada bari,3155,4,2,2011,No,3665843
Keshav Pura,2770,4,3,2001,No,2622106
Nayapura,1384,3,3,1997,Yes,2784443
Gumanpura,1598,5,1,2023,No,2925749
Gumanpura,2429,4,3,1996,Yes,2960998
Gumanpura,3434,5,2,2011,No,3228635
Gumanpura,1876,3,2,1980,No,2930444
Gumanpura,2171,3,2,1992,Yes,2934859
Vigyan Nagar,2987,5,2,2017,Yes,3572319
Vigyan Nagar,2935,4,2,2007,No,3315237
Nayapura,1332,5,2,1999,No,2671429
Vigyan Nagar,1023,1,2,2015,No,3167039
Gumanpura,3442,5,1,1997,Yes,3196526
Vigyan Nagar,1086,1,1,1986,Yes,3152326
Keshav Pura,1510,2,1,2006,No,2513639
Keshav Pura,1849,3,1,2018,No,2740003
Nayapura,1129,4,3,2010,Yes,2730594
Gumanpura,1974,3,1,1981,Yes,2927424
Keshav Pura,1746,4,1,1986,Yes,2651306
Dada bari,2102,4,1,1999,Yes,3552505
Keshav Pura,1174,2,2,1985,Yes,2507231
Gumanpura,3228,1,3,1998,Yes,3136729
Dada bari,3277,4,1,2008,No,3653526
Nayapura,2382,4,3,2007,No,2774410
Dada bari,2488,3,3,2011,No,3422040
Gumanpura,1469,1,2,2011,No,2790984
Gumanpura,1696,2,3,2011,Yes,3037113
Vigyan Nagar,2331,4,3,2022,No,3491796
Nayapura,2223,1,1,2014,Yes,3041166
Dada bari,3077,2,2,1988,No,3523331
Gumanpura,2645,2,1,2000,No,2991974
Dada bari,963,2,2,1998,No,3195930
Gumanpura,1523,1,1,2001,No,2847333
Gumanpura,2514,2,3,1984,Yes,2994781
Vigyan Nagar,2699,4,1,2021,Yes,3445549
Keshav Pura,1409,5,3,2009,No,2591331
Keshav Pura,1494,1,1,2006,No,2555019
Nayapura,1741,5,2,1985,No,2700892
Dada bari,1704,3,2,1982,Yes,3308836
Dada bari,2154,1,1,2013,Yes,3576710
Gumanpura,2839,5,1,2003,No,3000805
Dada bari,1546,2,3,2016,No,3315625
Nayapura,2679,1,1,1992,Yes,2829041
Gumanpura,3291,2,2,1984,No,3049365
Gumanpura,1408,2,2,2004,Yes,2769382
Keshav Pura,2836,5,2,2013,No,2780151
Vigyan Nagar,2815,3,1,1985,No,3210784
Keshav Pura,2625,2,2,1982,Yes,2675774
Gumanpura,3321,2,1,2004,Yes,3238964
Gumanpura,2399,5,1,2007,Yes,3108056
Keshav Pura,1501,5,2,2018,No,2595516
Vigyan Nagar,2526,2,3,1989,No,3297649
Keshav Pura,2431,2,2,2012,Yes,2886172
Nayapura,1968,4,3,1989,Yes,2772898
Nayapura,2924,4,1,2001,No,2978730
Nayapura,2653,3,2,1981,Yes,3043125
Dada bari,1040,4,3,1996,No,3203917
Keshav Pura,2666,3,3,1993,Yes,2810551
Keshav Pura,981,5,3,2010,No,2507720
Vigyan Nagar,2595,3,1,2008,No,3361622
Keshav Pura,2912,3,3,1989,Yes,2749795
Nayapura,1306,3,2,2008,No,2694600
Vigyan Nagar,2029,4,1,1984,No,3146849
Vigyan Nagar,2581,4,3,2008,Yes,3393171
Gumanpura,985,4,3,2006,No,2836222
Vigyan Nagar,1476,3,2,1982,No,3165026
Keshav Pura,2451,1,1,1993,Yes,2725468
Nayapura,1072,3,1,2003,No,2697993
Gumanpura,2599,1,1,2017,Yes,3054250
Vigyan Nagar,1472,4,3,2010,Yes,3302390
Dada bari,1165,3,3,2004,No,3168821
Vigyan Nagar,1816,2,2,1987,Yes,3298790
Gumanpura,1756,3,2,2009,No,2972375
Keshav Pura,1977,3,2,1985,Yes,2677100
Vigyan Nagar,1300,5,2,1986,Yes,3229154
Dada bari,2933,4,3,1983,Yes,3514846
Gumanpura,2113,1,2,2004,No,2852022
Keshav Pura,1827,1,3,2006,Yes,2586623
Dada bari,2191,1,3,1980,Yes,3408697
Dada bari,1141,1,2,2012,No,3336280
Vigyan Nagar,2033,1,3,2014,Yes,3303272
Dada bari,2975,4,3,1994,No,3607424
Dada bari,1762,1,3,2010,Yes,3391262
Gumanpura,2898,3,2,2006,Yes,3177835
Dada bari,1467,1,1,2000,No,3318477
Vigyan Nagar,3373,2,3,1990,Yes,3430138
Vigyan Nagar,3217,4,3,2008,Yes,3450475
Dada bari,1197,4,2,1994,No,3334236
Gumanpura,1170,5,3,1982,No,2739390
Dada bari,2077,5,1,2016,Yes,3588888
Gumanpura,3126,5,3,2005,Yes,3158817
Keshav Pura,1588,4,2,1988,Yes,2693133
Vigyan Nagar,1561,2,2,2020,No,3144564
Keshav Pura,3176,4,1,2018,No,2917321
Keshav Pura,1091,4,1,1985,No,2334635
Vigyan Nagar,2231,3,3,2023,Yes,3566776
Nayapura,2307,5,2,2021,No,2974124
Keshav Pura,2954,5,2,2003,No,2631260
Vigyan Nagar,2249,4,2,1981,No,3177254
Vigyan Nagar,1708,3,1,2009,No,3153741
Dada bari,2990,1,1,1993,Yes,3623180
Vigyan Nagar,2781,3,1,2004,Yes,3461573
Gumanpura,3151,2,2,2015,No,3164381
Keshav Pura,1463,1,1,1986,Yes,2615956
Nayapura,3440,1,3,2003,No,2923737
Keshav Pura,3428,2,2,1992,Yes,2785642
Dada bari,1369,5,3,2012,No,3446761
Nayapura,2510,2,1,1982,Yes,2880814
Keshav Pura,1616,3,1,1991,No,2552531
Dada bari,2349,1,3,2003,No,3361258
Gumanpura,2579,4,3,2018,No,3027850
Keshav Pura,2789,5,2,1985,Yes,2871561
Gumanpura,2218,1,1,2022,No,3018996
Nayapura,3454,5,1,1991,Yes,3114953
Dada bari,3383,1,1,1992,Yes,3540502
Keshav Pura,1280,4,3,2007,No,2435471
Keshav Pura,1645,1,1,1987,Yes,2554005
Gumanpura,2176,4,3,1997,No,2800217
Nayapura,1096,2,2,1986,Yes,2693716
Gumanpura,2666,1,1,1988,No,2950231
Dada bari,1225,3,1,2016,Yes,3459202
Keshav Pura,2990,3,3,1982,No,2794792
Dada bari,1622,5,1,1983,Yes,3374245
Dada bari,1444,4,1,1993,Yes,3325928
Keshav Pura,3263,5,1,2006,Yes,2802660
Gumanpura,3338,5,2,2018,Yes,3244855
Dada bari,1179,2,2,1991,Yes,3272148
Vigyan Nagar,1841,3,2,2001,Yes,3170553
Dada bari,3399,2,1,1990,No,3630374
Keshav Pura,1220,2,3,2005,No,2408372
Vigyan Nagar,1388,2,3,2009,Yes,3174407
Keshav Pura,3375,3,2,2001,Yes,2926472
Keshav Pura,1741,4,2,2013,No,2631450
Nayapura,2261,4,3,1994,No,2873369
Nayapura,1041,2,3,2022,No,2810678
Dada bari,2243,5,1,2003,Yes,3584131
Vigyan Nagar,2905,3,2,1996,No,3277074
Vigyan Nagar,1662,1,3,2006,No,3097404
Nayapura,3213,1,1,1997,No,2980198
Nayapura,2775,2,1,1995,Yes,3047072
Nayapura,2791,3,2,2017,No,3007618
Vigyan Nagar,2261,3,2,2019,Yes,3364056
Keshav Pura,2181,1,2,1992,Yes,2614866
Dada bari,2282,3,1,2002,Yes,3540528
Dada bari,2365,1,2,1994,No,3365536
Keshav Pura,3279,3,1,1995,Yes,2844411
Vigyan Nagar,1330,3,2,1993,Yes,3134917
Keshav Pura,2890,4,2,1996,Yes,2864987
Dada bari,2207,2,2,1986,No,3343940
Keshav Pura,3308,3,3,1992,No,2742822
Keshav Pura,2367,1,2,2000,No,2497784
Vigyan Nagar,2939,3,1,2021,Yes,3655616
Nayapura,2012,5,3,2001,Yes,2861069
Keshav Pura,2498,1,2,2020,Yes,2893844
Vigyan Nagar,2979,2,3,2022,Yes,3611119
Gumanpura,1640,3,1,2005,Yes,2988969
Gumanpura,2510,5,1,1992,No,2910765
Nayapura,2652,1,3,1981,No,2775086
Dada bari,2551,5,1,1995,No,3423552
Vigyan Nagar,3311,3,2,2022,Yes,3714717
Vigyan Nagar,1210,3,2,2008,Yes,3258819
Nayapura,2766,5,1,2005,Yes,3028299
Nayapura,1788,2,3,2019,No,2909793
Vigyan Nagar,1425,2,1,1985,Yes,3147111
Nayapura,2929,3,1,1992,No,2944793
Dada bari,2112,2,2,1981,No,3399133
Dada bari,2132,3,2,2001,Yes,3373880
Nayapura,2861,2,2,2021,Yes,3170621
Gumanpura,1715,4,3,1993,No,2792393
Nayapura,2880,5,2,2022,Yes,3151065
Dada bari,1383,5,3,1986,Yes,3305145
Keshav Pura,986,2,2,2021,Yes,2698978
Dada bari,3371,3,2,2022,Yes,3857956
Vigyan Nagar,3212,3,2,1987,Yes,3334877
Dada bari,1595,2,3,1985,No,3282071
Nayapura,3056,5,1,1988,No,3009087
Keshav Pura,1329,2,2,2022,Yes,2690004
Vigyan Nagar,1185,4,2,2003,No,3040141
Dada bari,1710,4,3,1993,No,3266901
Gumanpura,2844,1,3,2018,Yes,3135508
Gumanpura,3237,3,3,2019,No,3213811
Keshav Pura,2114,3,3,2019,No,2686120
Dada bari,2987,2,3,1997,Yes,3678210
Gumanpura,1738,5,1,2002,No,2899065
Dada bari,2903,4,2,1992,Yes,3696506
Nayapura,2539,2,1,2014,No,2991206
Keshav Pura,2014,5,2,2018,No,2725791
Dada bari,1607,3,1,2015,Yes,3593862
Vigyan Nagar,1479,5,2,1990,No,3004506
Dada bari,1090,3,1,2009,No,3205949
Keshav Pura,3265,4,1,2005,Yes,2840912
Nayapura,2777,1,1,1993,Yes,2871461
Nayapura,3449,1,2,1992,Yes,3001290
Dada bari,2168,1,1,1985,Yes,3525342
Vigyan Nagar,2888,4,2,1982,No,3350098
Nayapura,2073,4,2,1998,Yes,2804521
Nayapura,3405,4,3,2021,Yes,3191056
Nayapura,1446,4,3,1996,Yes,2833554
Vigyan Nagar,1988,2,2,2006,No,3068395
Keshav Pura,2984,4,1,1992,Yes,2803741
Gumanpura,2271,5,2,2006,Yes,2959986
Nayapura,1787,1,1,2014,Yes,2970821
Nayapura,2880,1,2,1995,Yes,2886081
Keshav Pura,1544,4,2,1986,No,2533615
Vigyan Nagar,2436,3,3,1996,Yes,3391104
Gumanpura,2795,3,1,1993,Yes,3142619
Dada bari,1600,4,3,1981,No,3259782
Dada bari,2618,4,3,2010,Yes,3575464
Nayapura,2526,2,2,2004,No,2895548
Nayapura,3238,4,3,1999,Yes,3080847
Dada bari,2916,3,3,2013,No,3615917
Gumanpura,2619,2,2,2007,No,3040339
Gumanpura,1325,2,3,2015,Yes,2946425
Nayapura,2056,3,1,2019,No,2822395
Nayapura,1753,1,1,2004,No,2708566
Gumanpura,2668,2,3,2003,No,2873258
Vigyan Nagar,1989,4,1,2023,No,3308664
Gumanpura,3298,1,2,2022,No,3211084
Gumanpura,1325,4,3,1985,No,2691231
Vigyan Nagar,1940,3,1,1991,No,3223922
Gumanpura,1032,4,1,2010,Yes,2880329
Dada bari,2069,5,2,2019,Yes,3687216
Keshav Pura,1914,1,3,1997,No,2526637
Keshav Pura,1687,1,1,1992,Yes,2561919
Keshav Pura,1062,1,1,1995,No,2393727
Gumanpura,2044,4,2,2023,No,3157031
Nayapura,2537,1,1,2016,Yes,2941489
Vigyan Nagar,3302,4,2,2000,No,3410871
Keshav Pura,2245,2,2,2004,Yes,2689616
Vigyan Nagar,3409,1,3,1985,Yes,3537242
Nayapura,1141,4,3,2022,Yes,2843612
Nayapura,988,2,2,2021,Yes,2797513
Gumanpura,1606,1,3,1987,No,2813271
Vigyan Nagar,2779,2,2,2009,No,3306872
Nayapura,1437,3,2,1980,No,2664298
Vigyan Nagar,1716,2,1,2011,No,3177732
Nayapura,2390,1,2,1983,Yes,2836820
Keshav Pura,1354,2,3,1998,Yes,2590628
Vigyan Nagar,1457,1,2,1995,Yes,3232323
Gumanpura,1862,3,1,2019,No,2964806
Dada bari,1422,1,3,2007,No,3334491
Nayapura,2652,3,3,2007,Yes,2963989
Nayapura,3112,5,2,1983,No,2884749
Nayapura,1885,3,1,2008,No,2834612
Vigyan Nagar,2544,3,1,2016,Yes,3458230
Vigyan Nagar,3278,4,1,2007,No,3441338
Gumanpura,1145,5,1,2005,No,2820298
Dada bari,1492,3,2,2008,Yes,3477576
Nayapura,3128,3,1,2000,No,2965539
Gumanpura,1454,1,1,2017,No,2963215
Vigyan Nagar,1295,2,3,2017,Yes,3232369
Gumanpura,3114,1,3,2007,No,3122900
Keshav Pura,2813,3,2,2012,No,2740952
Dada bari,2905,4,1,1994,Yes,3515507
Nayapura,3432,3,2,2022,No,3243253
Keshav Pura,2470,3,2,1995,No,2650905
Nayapura,1474,3,3,1987,Yes,2775443
Dada bari,1161,3,1,1987,Yes,3250930
Nayapura,1734,4,3,1993,Yes,2804527
Gumanpura,2090,2,1,1994,No,2917472
Gumanpura,2558,5,2,2012,No,3082850
Dada bari,1715,1,1,2000,Yes,3352339
Nayapura,2228,3,2,2016,Yes,3011692
Gumanpura,1874,5,1,2005,No,2874111
Vigyan Nagar,2118,3,2,1994,No,3255357
Gumanpura,2079,5,3,2012,Yes,3006037
Keshav Pura,2695,3,2,2015,Yes,2833573
Keshav Pura,3223,2,3,1993,Yes,2836836
Gumanpura,3110,5,3,1993,No,2985299
Keshav Pura,2203,5,2,2021,Yes,2929696
Gumanpura,1290,5,1,1980,Yes,2881161
Gumanpura,1013,3,2,2004,No,2665268
Dada bari,2151,3,1,1994,Yes,3514411
Dada bari,1028,4,2,2012,Yes,3317568
Gumanpura,1763,2,3,2012,No,2836321
Vigyan Nagar,2889,2,2,1989,No,3227071
Vigyan Nagar,2156,2,1,2018,Yes,3446604
Vigyan Nagar,3298,3,3,2002,Yes,3526686
Vigyan Nagar,3353,1,2,2021,Yes,3659266
Vigyan Nagar,1972,1,1,2000,No,3134311
Dada bari,1448,1,2,1983,No,3209615
Keshav Pura,2099,3,1,2007,No,2657538
Gumanpura,1296,1,3,2022,Yes,3094196
Keshav Pura,1191,4,3,1999,Yes,2513589
Nayapura,2176,1,1,2013,Yes,2978219
Nayapura,1916,2,3,2017,Yes,3074275
Dada bari,2598,1,2,1981,No,3340249
Keshav Pura,2695,5,3,1984,Yes,2864835
Nayapura,1280,5,3,2023,Yes,3066526
Vigyan Nagar,1733,5,2,1987,Yes,3154781
Dada bari,1104,5,1,2022,No,3500117
Vigyan Nagar,2978,3,1,1984,No,3333280
Dada bari,2788,4,3,1989,No,3487630
Vigyan Nagar,2867,4,3,1983,No,3324613
Gumanpura,2445,2,1,2017,No,2941409
Keshav Pura,2576,5,1,2003,No,2725424
Gumanpura,2224,5,3,2001,No,2833516
Nayapura,2323,5,2,2021,No,2950037
Dada bari,3136,3,3,1987,No,3628713
Vigyan Nagar,2834,2,2,1981,Yes,3271473
Nayapura,2270,4,3,1991,Yes,2900072
Gumanpura,2736,1,1,1988,Yes,2963311
Dada bari,1521,5,2,1980,Yes,3403933
Dada bari,2577,3,3,1991,No,3386078
Gumanpura,2281,4,3,1986,No,2880215
Dada bari,2963,4,2,2006,Yes,3615726
Keshav Pura,2410,4,2,2016,Yes,2868879
Dada bari,1131,2,2,2000,No,3281598
Gumanpura,1619,1,1,2001,No,2785678
Vigyan Nagar,1613,4,3,2006,No,3107337
Vigyan Nagar,3171,3,2,2021,No,3448088
Vigyan Nagar,1294,2,2,2021,Yes,3233637
Vigyan Nagar,3028,3,3,1996,No,3348744
Nayapura,1608,4,3,2020,Yes,2932730
Gumanpura,1460,1,3,2010,Yes,2902249
Vigyan Nagar,2468,1,3,1994,Yes,3314013
Nayapura,2099,4,1,2005,Yes,2959379
Keshav Pura,1457,4,2,1997,Yes,2666448
Keshav Pura,1771,4,3,2020,Yes,2882841
Vigyan Nagar,1716,5,3,1986,No,3062000
Keshav Pura,1547,5,1,1981,Yes,2562279
Vigyan Nagar,3445,2,1,2009,No,3484851
Vigyan Nagar,1320,1,2,1989,No,3084798
Vigyan Nagar,3320,4,2,1982,Yes,3403080
Gumanpura,2354,2,1,2021,No,3039993
Nayapura,2725,2,1,2005,No,2942142
Vigyan Nagar,1608,5,1,1998,No,3175864
Gumanpura,1656,4,3,2018,Yes,2977134
Dada bari,1297,1,3,2015,No,3397240
Gumanpura,1262,3,3,2002,No,2682061
Vigyan Nagar,1216,1,1,1996,Yes,3176337
Nayapura,2417,5,3,1983,No,2887041
Nayapura,1213,3,2,1997,No,2698174
Gumanpura,3086,1,3,2003,Yes,3149353
Nayapura,1555,1,3,1986,No,2569838
Nayapura,1597,1,2,1991,No,2637913
Keshav Pura,3179,1,3,1985,No,2668802
Keshav Pura,2219,2,1,1982,Yes,2626447
Nayapura,1274,1,1,1983,No,2603735
Gumanpura,1949,2,2,1999,No,2867459
Gumanpura,1593,4,1,2001,Yes,2937481
Dada bari,3232,4,2,1995,No,3522403
Vigyan Nagar,2916,1,3,1996,No,3207228
Vigyan Nagar,2931,5,1,1985,No,3245828
Gumanpura,2806,5,1,2000,No,2893532
Nayapura,1075,2,2,2014,No,2692272
Keshav Pura,1293,2,3,1984,No,2488212
Dada bari,3027,4,1,1996,No,3546235
Dada bari,3235,4,1,1997,Yes,3606924
Nayapura,1480,2,2,1993,No,2583633
Vigyan Nagar,1022,2,1,2015,Yes,3285371
Vigyan Nagar,2150,3,3,1987,Yes,3350943
Keshav Pura,3033,2,1,1998,Yes,2699303
Vigyan Nagar,1839,3,2,2013,No,3318764
Nayapura,2424,3,1,1993,No,2815969
Dada bari,2417,5,2,1982,Yes,3613926
Nayapura,1594,2,2,1980,No,2636528
Keshav Pura,1249,3,3,2013,Yes,2709794
Dada bari,2746,2,2,1980,No,3545940
Gumanpura,1387,4,1,2021,No,2994448
Nayapura,3122,2,1,1980,No,2891768
Keshav Pura,1762,4,1,1999,Yes,2546021
Dada bari,1909,5,1,2005,No,3372837
Gumanpura,1549,3,2,2007,Yes,2959135
Keshav Pura,1784,2,1,1998,Yes,2506790
Dada bari,1735,2,2,1980,No,3228387
Keshav Pura,1526,1,3,2017,No,2563237
Dada bari,1315,4,2,1998,No,3327219
Gumanpura,1198,4,3,1988,No,2807449
Gumanpura,1397,4,3,1980,Yes,2851953
Dada bari,2291,4,3,2017,Yes,3585207
Nayapura,1390,5,2,2017,No,2773632
Vigyan Nagar,2522,3,3,2006,Yes,3339610
Dada bari,3336,2,3,1981,No,3495569
Nayapura,3028,3,3,1995,No,2838622
Nayapura,1938,2,1,1984,Yes,2813163
Gumanpura,2192,2,3,2013,No,3059600
Dada bari,3182,1,3,2001,No,3589112
Nayapura,1696,4,2,2023,No,2880752
Keshav Pura,1143,1,3,1981,No,2468300
Gumanpura,3466,2,1,2012,No,3172982
Dada bari,1219,3,2,1992,No,3316614
Gumanpura,2165,4,3,2011,Yes,3175334
Nayapura,2626,5,1,1990,No,2802786
Dada bari,1337,5,2,2003,Yes,3371654
Nayapura,2419,3,3,2021,No,2987731
Keshav Pura,2927,1,1,2013,Yes,2776618
Gumanpura,1231,4,3,1984,No,2660654
Keshav Pura,2651,5,2,1983,No,2669411
Vigyan Nagar,3040,1,2,2020,Yes,3468453
Dada bari,1003,5,3,1997,Yes,3382460
Gumanpura,2875,5,1,2007,No,3117611
Nayapura,1600,5,1,2001,Yes,2772534
Dada bari,2668,1,2,1995,Yes,3587401
Keshav Pura,1842,4,3,2004,Yes,2748601
Gumanpura,1810,3,3,2022,No,2962752
Dada bari,2417,4,3,1997,Yes,3540568
Keshav Pura,3264,1,1,2009,No,2758619
Dada bari,2153,5,1,2001,Yes,3526829
Keshav Pura,3081,4,3,1995,No,2742383
Vigyan Nagar,3352,5,2,2007,Yes,3568939
Keshav Pura,1115,4,1,1985,No,2520018
Gumanpura,3456,4,2,1998,Yes,3189533
Nayapura,2645,5,1,2000,No,2941069
Vigyan Nagar,2799,1,2,2018,Yes,3519937
Vigyan Nagar,1903,2,3,2005,Yes,3162427
Vigyan Nagar,3317,1,2,2007,No,3366228
Gumanpura,2434,4,2,1989,No,2904093
Nayapura,2352,4,2,2004,No,2770773
Keshav Pura,2754,2,3,1997,No,2673714
Vigyan Nagar,1833,1,2,2006,Yes,3261494
Gumanpura,2661,5,3,2016,Yes,3241096
Keshav Pura,1174,3,1,1991,No,2473984
Keshav Pura,2027,2,3,2010,No,2630748
Keshav Pura,2504,4,1,2012,Yes,2781558
Vigyan Nagar,2541,3,1,2006,Yes,3420948
Gumanpura,974,3,1,1990,Yes,2711754
Gumanpura,3032,2,2,1980,Yes,3126183
Nayapura,3412,5,1,1992,Yes,3124271
Gumanpura,2067,5,3,2012,No,3013372
Dada bari,1687,2,2,2018,No,3525997
Nayapura,2325,1,3,2015,Yes,3032691
Gumanpura,2032,2,2,2014,No,2863696
Dada bari,1881,4,3,2022,Yes,3712353
Dada bari,2852,1,1,2021,Yes,3683074
Nayapura,3258,4,1,1990,Yes,3076938
Nayapura,2873,2,2,2010,Yes,2958688
Dada bari,2393,2,1,2016,Yes,3679669
Gumanpura,2968,1,3,2013,Yes,3235771
Keshav Pura,2362,5,2,1986,Yes,2694323
Keshav Pura,3308,4,3,1987,Yes,2884100
Dada bari,3330,3,2,2018,No,3750201
Gumanpura,2259,2,1,2017,Yes,3106612
Keshav Pura,2744,5,3,1988,No,2674139
Gumanpura,3324,4,2,2020,Yes,3260464
Dada bari,1217,2,3,1994,No,3253364
Gumanpura,2801,5,3,1999,No,3058039
Vigyan Nagar,3474,3,2,2020,No,3613797
Gumanpura,3142,4,1,2004,Yes,3212967
Dada bari,1804,2,1,2008,No,3372337
Dada bari,3101,4,3,2020,Yes,3724003
Nayapura,1978,1,3,1997,Yes,2801328
Keshav Pura,1899,1,1,1983,No,2415151
Dada bari,2758,1,2,2017,No,3563800
Keshav Pura,3117,2,2,1997,No,2760719
Vigyan Nagar,1206,4,2,2023,No,3322583
Gumanpura,1040,5,3,2005,Yes,2908703
Nayapura,2862,4,2,2010,Yes,3065810
Gumanpura,1533,2,1,2021,No,2852368
Vigyan Nagar,3251,1,1,2002,No,3289613
Keshav Pura,991,5,3,1991,Yes,2601560
Gumanpura,2081,5,3,1997,Yes,3037233
Nayapura,2539,5,2,2000,Yes,2909087
Vigyan Nagar,974,4,2,1996,Yes,3015942
Dada bari,1077,2,1,2010,No,3205104
Gumanpura,1571,1,1,1997,Yes,2775612
Nayapura,1052,5,2,2020,No,2705349
Gumanpura,2310,4,3,2016,Yes,3230578
Dada bari,3445,4,1,1999,Yes,3599315
Dada bari,2779,4,2,2001,No,3415757
Vigyan Nagar,3179,3,3,1991,No,3409957
Nayapura,1141,4,3,2008,Yes,2742688
Gumanpura,1055,5,2,1994,No,2783852
Nayapura,1816,5,2,1989,Yes,2911499
Keshav Pura,2406,1,3,2008,Yes,2732308
Nayapura,1044,2,2,1994,No,2657860
Gumanpura,1076,5,3,2019,Yes,2986827
